#time	operator	index_1	index_2	value
0.1	ZZ	3	13	0.960786176089082
0.1	ZZ	3	14	0.960041457987834
0.1	ZZ	3	15	0.88718443773957
0.1	ZZ	3	16	-0.887183238005682
0.1	ZZ	3	17	-0.960042645737699
0.1	ZZ	3	18	-0.96078618966027
0.1	ZZ	3	19	-0.960789439633199
0.1	ZZ	3	20	-0.960789439153495
0.1	ZZ	3	21	-0.960789439153377
0.1	ZZ	3	22	-0.960789439153376
0.1	ZZ	3	23	-0.960789439153376
0.1	ZZ	3	24	-0.960789439153376
0.1	ZZ	3	25	-0.960789439153376
0.1	ZZ	3	26	-0.960789439153376
0.1	ZZ	3	27	-0.960789439153376
0.1	ZZ	3	28	-0.960789439153376
0.1	ZZ	3	29	-0.960789439153376
0.1	ZZ	3	30	-0.960789439153376
0.1	ZZ	4	1	0.960789439153376
0.1	ZZ	4	2	0.960789439153376
0.1	ZZ	4	3	0.960789439153376
0.1	ZZ	4	5	0.960789439153376
0.1	ZZ	4	6	0.960789439153376
0.1	ZZ	4	7	0.960789439153376
0.1	ZZ	4	8	0.960789439153376
0.1	ZZ	4	9	0.960789439153376
0.1	ZZ	4	10	0.960789439153377
0.1	ZZ	4	11	0.960789439153561
0.1	ZZ	4	12	0.960789440168093
0.1	ZZ	4	13	0.960786176089082
