L,k,dt,g,cut,J,n_pasts,n_futures,n_seeds,branch_weight_beta,entropy,entropy_std,delta_norm,rank
6,20,0.1,1.0,8,1.0,32,32,1,1.0,0.12409563725735356,0.0,7.6399963329354295,1
6,20,0.1,1.0,8,1.1,32,32,1,1.0,0.17188647904495463,0.0,7.383633381603917,1
6,20,0.1,1.0,8,1.2,32,32,1,1.0,0.2322996203278491,0.0,7.221943215777353,1
6,20,0.1,1.0,8,1.3,32,32,1,1.0,0.2980653161431449,0.0,7.167610106228918,1
6,20,0.1,1.0,8,1.4,32,32,1,1.0,0.3584620590752752,0.0,7.21097460589548,1
6,20,0.1,1.0,8,1.5,32,32,1,1.0,0.4054139127150585,0.0,7.325600307780224,1
6,20,0.1,1.0,8,1.6,32,32,1,1.0,0.4367035992806073,0.0,7.479670873061991,2
6,20,0.1,1.0,8,1.7,32,32,1,1.0,0.4550308475540118,0.0,7.646028612151702,2
6,20,0.1,1.0,8,1.8,32,32,1,1.0,0.4653976407864493,0.0,7.8066335737668435,2
6,20,0.1,1.0,8,1.9,32,32,1,1.0,0.4728001901284939,0.0,7.951764503610715,2
6,20,0.1,1.0,8,2.0,32,32,1,1.0,0.4807434091867346,0.0,8.076654437775618,2
6,20,0.1,1.0,9,0.0,32,32,1,1.0,2.141404136484463e-27,0.0,8.227677996895341,1
6,20,0.1,1.0,9,0.1,32,32,1,1.0,2.7969264724983124e-05,0.0,8.264666248036342,1
6,20,0.1,1.0,9,0.2,32,32,1,1.0,0.00038066035225519236,0.0,8.28303727911507,1
6,20,0.1,1.0,9,0.3,32,32,1,1.0,0.001768134503605055,0.0,8.275703177128184,1
6,20,0.1,1.0,9,0.4,32,32,1,1.0,0.0051892723893979635,0.0,8.23385922962526,1
6,20,0.1,1.0,9,0.5,32,32,1,1.0,0.011611719367305411,0.0,8.149981904544278,1
6,20,0.1,1.0,9,0.6,32,32,1,1.0,0.021670254478087972,0.0,8.02100352666312,1
6,20,0.1,1.0,9,0.7,32,32,1,1.0,0.035773869438204695,0.0,7.851306644984452,1
6,20,0.1,1.0,9,0.8,32,32,1,1.0,0.05478188841592519,0.0,7.655034220630832,1
6,20,0.1,1.0,9,0.9,32,32,1,1.0,0.08076056204579696,0.0,7.456606183826968,1
6,20,0.1,1.0,9,1.0,32,32,1,1.0,0.11635242933029417,0.0,7.287851402636059,1
6,20,0.1,1.0,9,1.1,32,32,1,1.0,0.16180556929447504,0.0,7.180824225809155,1
6,20,0.1,1.0,9,1.2,32,32,1,1.0,0.21227142450696415,0.0,7.1578559677493345,1
6,20,0.1,1.0,9,1.3,32,32,1,1.0,0.2591773991310036,0.0,7.223535061583695,1
6,20,0.1,1.0,9,1.4,32,32,1,1.0,0.2950144022884218,0.0,7.363615348723385,1
6,20,0.1,1.0,9,1.5,32,32,1,1.0,0.3168869998828058,0.0,7.551518927897226,1
6,20,0.1,1.0,9,1.6,32,32,1,1.0,0.32642852980571413,0.0,7.758044995724846,1
6,20,0.1,1.0,9,1.7,32,32,1,1.0,0.327634673057902,0.0,7.959083057003852,1
6,20,0.1,1.0,9,1.8,32,32,1,1.0,0.32478646508385817,0.0,8.13900066363382,1
6,20,0.1,1.0,9,1.9,32,32,1,1.0,0.3212240034167982,0.0,8.29030239462181,1
6,20,0.1,1.0,9,2.0,32,32,1,1.0,0.31884350833391056,0.0,8.41137094367091,1
6,20,0.1,1.0,10,0.0,32,32,1,1.0,2.141404136484463e-27,0.0,9.810631295885779,1
6,20,0.1,1.0,10,0.1,32,32,1,1.0,3.127567566964032e-05,0.0,9.820714350746101,1
