case_id,family,method,tdvp_chi,tdvp_error,tebd_recovery_chi,recovery_chi_ratio,recovery_status,tdvp_time,tebd_recovery_time,time_ratio
periodic_1d_n8_d8_s2_small,periodic_1d,hybrid_tdvp_unpadded,16,0.014503703363830472,8.0,0.5,recovered,0.026554128009593114,0.022858044001623057,0.8608094377403473
periodic_1d_n8_d8_s2_small,periodic_1d,hybrid_tdvp_padded4,16,3.770290596344769e-14,8.0,0.5,recovered,0.03322770100203343,0.022858044001623057,0.6879213220386273
periodic_1d_n8_d8_s2_small,periodic_1d,hybrid_tdvp_unpadded,24,0.014503703363830472,8.0,0.3333333333333333,recovered,0.026328488005674444,0.022858044001623057,0.8681867335753036
periodic_1d_n8_d8_s2_small,periodic_1d,hybrid_tdvp_padded4,24,3.770290596344769e-14,8.0,0.3333333333333333,recovered,0.03313470000284724,0.022858044001623057,0.6898521489453318
periodic_1d_n8_d8_s2_small,periodic_1d,hybrid_tdvp_unpadded,32,0.014503703363830472,8.0,0.25,recovered,0.02625246299430728,0.022858044001623057,0.8707009321974747
periodic_1d_n8_d8_s2_small,periodic_1d,hybrid_tdvp_padded4,32,3.770290596344769e-14,8.0,0.25,recovered,0.03310541500104591,0.022858044001623057,0.6904623911496319
periodic_1d_n8_d8_s2_medium,periodic_1d,hybrid_tdvp_unpadded,16,0.0030987680480264682,8.0,0.5,recovered,0.026637743998435326,0.022875485999975353,0.8587621384648428
periodic_1d_n8_d8_s2_medium,periodic_1d,hybrid_tdvp_padded4,16,3.075668595057495e-14,8.0,0.5,recovered,0.03331233200151473,0.022875485999975353,0.6866972266887587
periodic_1d_n8_d8_s2_medium,periodic_1d,hybrid_tdvp_unpadded,24,0.0030987680480264682,8.0,0.3333333333333333,recovered,0.02652703800413292,0.022875485999975353,0.8623460333721145
periodic_1d_n8_d8_s2_medium,periodic_1d,hybrid_tdvp_padded4,24,3.075668595057495e-14,8.0,0.3333333333333333,recovered,0.033463212006608956,0.022875485999975353,0.6836010241771611
periodic_1d_n8_d8_s2_medium,periodic_1d,hybrid_tdvp_unpadded,32,0.0030987680480264682,8.0,0.25,recovered,0.027729178007575683,0.022875485999975353,0.8249608406612599
periodic_1d_n8_d8_s2_medium,periodic_1d,hybrid_tdvp_padded4,32,3.075668595057495e-14,8.0,0.25,recovered,0.03382782600237988,0.022875485999975353,0.6762328149129655
periodic_1d_n12_d4_s0_small,periodic_1d,hybrid_tdvp_unpadded,16,0.0033183470682904056,8.0,0.5,recovered,0.02052095701219514,0.0178696660004789,0.8708008105986169
periodic_1d_n12_d4_s0_small,periodic_1d,hybrid_tdvp_padded4,16,4.349218963051987e-12,8.0,0.5,recovered,0.025918279992765747,0.0178696660004789,0.6894618780824439
