case_id,family,n_qubits,depth_or_cycles,seed,angle_regime,chi_max,tdvp_variant,tebd_error,tdvp_error,tdvp_error_over_tebd_error,tdvp_infidelity_over_tebd_infidelity,tdvp_time_over_tebd_time,tdvp_peak_chi_over_tebd_peak_chi,outcome
periodic_1d_n8_d4_s0_small,periodic_1d,8,4,0,small,48,unpadded,2.940202696472919e-15,0.006388952049136069,2172963128290.5378,48618655988839.69,1.1672056458195548,0.5,tebd_win
periodic_1d_n8_d4_s0_small,periodic_1d,8,4,0,small,48,padded4,2.940202696472919e-15,1.4156463570629261e-12,481.4791710657031,0.0,1.4566204990656924,1.0,both_good
periodic_1d_n8_d4_s0_small,periodic_1d,8,4,0,small,64,unpadded,2.940202696472919e-15,0.006388952049136069,2172963128290.5378,48618655988839.69,1.1717683694414736,0.5,tebd_win
periodic_1d_n8_d4_s0_small,periodic_1d,8,4,0,small,64,padded4,2.940202696472919e-15,1.4156463570629261e-12,481.4791710657031,0.0,1.4506040345809115,1.0,both_good
periodic_1d_n8_d4_s0_medium,periodic_1d,8,4,0,medium,8,unpadded,1.1287899868289708e-15,0.03997476560198393,35413820168871.44,371350855183887.94,1.1726375572731513,0.5,tebd_win
periodic_1d_n8_d4_s0_medium,periodic_1d,8,4,0,medium,8,padded4,1.1287899868289708e-15,1.1140138600782396e-15,0.9869097645061145,0.0,1.4850339418679406,1.0,both_good
periodic_1d_n8_d4_s0_medium,periodic_1d,8,4,0,medium,16,unpadded,1.1287899868289708e-15,0.03997476560198393,35413820168871.44,371350855183887.94,1.1660862827749898,0.5,tebd_win
periodic_1d_n8_d4_s0_medium,periodic_1d,8,4,0,medium,16,padded4,1.1287899868289708e-15,1.1140138600782396e-15,0.9869097645061145,0.0,1.4920996244699711,1.0,both_good
periodic_1d_n8_d4_s0_medium,periodic_1d,8,4,0,medium,24,unpadded,1.1287899868289708e-15,0.03997476560198393,35413820168871.44,371350855183887.94,1.165128173447968,0.5,tebd_win
periodic_1d_n8_d4_s0_medium,periodic_1d,8,4,0,medium,24,padded4,1.1287899868289708e-15,1.1140138600782396e-15,0.9869097645061145,0.0,1.4834216841076033,1.0,both_good
