case_id,family,chi_max,unpadded_error,padded4_error,error_ratio,classification
sparse_long_range_n12_d4_s1_small,sparse_long_range,32,0.0003219752467869696,0.0002511277093774753,0.7799596766630648,padding_neutral
sparse_long_range_n12_d4_s1_small,sparse_long_range,48,0.0003219752467869696,0.0002511277093774753,0.7799596766630648,padding_neutral
sparse_long_range_n12_d4_s1_small,sparse_long_range,64,0.0003219752467869696,0.0002511277093774753,0.7799596766630648,padding_neutral
sparse_long_range_n12_d4_s1_medium,sparse_long_range,8,0.0023407202165386803,0.0026318209869466993,1.1243637613548199,padding_neutral
sparse_long_range_n12_d4_s1_medium,sparse_long_range,16,0.0019530089051897894,0.0022263376196093145,1.1399526206425379,padding_neutral
sparse_long_range_n12_d4_s1_medium,sparse_long_range,24,0.001863594480632267,0.0020551118381307324,1.1027677209225737,padding_neutral
sparse_long_range_n12_d4_s1_medium,sparse_long_range,32,0.001640843917434046,0.0020545470928142063,1.2521282926331652,padding_neutral
sparse_long_range_n12_d4_s1_medium,sparse_long_range,48,0.0016387713693304508,0.0020545470928142063,1.253711854664405,padding_neutral
sparse_long_range_n12_d4_s1_medium,sparse_long_range,64,0.0016387713693304508,0.0020545470928142063,1.253711854664405,padding_neutral
sparse_long_range_n12_d4_s2_small,sparse_long_range,8,0.0006630540223870632,0.0006950262185262696,1.0482195945725556,padding_neutral
sparse_long_range_n12_d4_s2_small,sparse_long_range,16,0.0005354099965492336,0.0005227525118522117,0.9763592671436833,padding_neutral
sparse_long_range_n12_d4_s2_small,sparse_long_range,24,0.0005259171841672151,0.0005227525118522117,0.9939825652968258,padding_neutral
sparse_long_range_n12_d4_s2_small,sparse_long_range,32,0.0005259171841672151,0.0005227525118522117,0.9939825652968258,padding_neutral
sparse_long_range_n12_d4_s2_small,sparse_long_range,48,0.0005259171841672151,0.0005227525118522117,0.9939825652968258,padding_neutral
sparse_long_range_n12_d4_s2_small,sparse_long_range,64,0.0005259171841672151,0.0005227525118522117,0.9939825652968258,padding_neutral
sparse_long_range_n12_d4_s2_medium,sparse_long_range,8,0.003188855732132522,0.003216974816813885,1.0088179231183212,padding_neutral
sparse_long_range_n12_d4_s2_medium,sparse_long_range,16,0.0027805673409641075,0.0020582386091749665,0.7402225361897952,padding_neutral
sparse_long_range_n12_d4_s2_medium,sparse_long_range,24,0.0007459090995634529,0.0009390034280078869,1.2588711259286736,padding_neutral
sparse_long_range_n12_d4_s2_medium,sparse_long_range,32,0.0007032659142634889,0.0008087381202648344,1.1499748585310061,padding_neutral
