model,method,chi_max,trotter_step,time,infidelity,fidelity,state_norm,norm_drift,phase_aligned_distance,current_max_bond,peak_max_bond,param_count,memory_bytes,peak_param_count,peak_memory_bytes,step_runtime_s,cumulative_runtime_s,discarded_weight_step,compression_residual_step,tdvp_substeps,variational_init,variational_converged,variational_sweeps,failed,failure_message
ising,hybrid_tdvp,32,13,1.3,0.009960520993218869,0.9900394790067811,1.0000000000000007,6.661338147750939e-16,0.09992721494964914,32,32,15016,240256,15016,240256,15.37677082902519,126.41972530592466,0.0027114386171278055,0.0,2,,,,0,
ising,hybrid_tdvp,32,14,1.4000000000000001,0.017541857224608215,0.9824581427753918,0.9999999999999991,8.881784197001252e-16,0.13273834654472955,32,32,15016,240256,15016,240256,13.665360848768614,140.08508615469327,0.0033553647188160245,0.0,2,,,,0,
ising,hybrid_tdvp,32,15,1.5,0.028239160570373345,0.9717608394296267,1.0000000000000002,2.220446049250313e-16,0.168645749185779,32,32,15016,240256,15016,240256,13.752124742255546,153.83721089694882,0.0038507127030921917,0.0,2,,,,0,
ising,hybrid_tdvp,32,16,1.6,0.04062927450603959,0.9593707254939604,1.0,0.0,0.20260938196236444,32,32,15016,240256,15016,240256,14.331723213836085,168.1689341107849,0.004209977804413821,0.0,2,,,,0,
ising,hybrid_tdvp,32,17,1.7000000000000002,0.0532482922723031,0.9467517077276969,1.0,0.0,0.23232878058971004,32,32,15016,240256,15016,240256,14.445413338078652,182.61434744886355,0.0043728833317682675,0.0,2,,,,0,
ising,hybrid_tdvp,32,18,1.8,0.06554118452911417,0.9344588154708858,0.9999999999999989,1.1102230246251565e-15,0.25817009924611456,32,32,15016,240256,15016,240256,15.007143170107156,197.6214906189707,0.004376173406567651,0.0,2,,,,0,
ising,hybrid_tdvp,32,19,1.9000000000000001,0.07693763172904444,0.9230623682709556,1.0000000000000004,4.440892098500626e-16,0.2801380079907556,32,32,15016,240256,15016,240256,14.879158743075095,212.5006493620458,0.004300032143511081,0.0,2,,,,0,
ising,hybrid_tdvp,32,20,2.0,0.08718375706141002,0.91281624293859,0.9999999999999986,1.4432899320127035e-15,0.2986162302780096,32,32,15016,240256,15016,240256,14.866125914850272,227.36677527689608,0.0042368276497066065,0.0,2,,,,0,
ising,hybrid_tdvp,32,21,2.1,0.09671842838069455,0.9032815716193054,0.9999999999999982,1.7763568394002505e-15,0.314924548221942,32,32,15016,240256,15016,240256,14.174764399940614,241.5415396768367,0.004167313334019708,0.0,2,,,,0,
ising,hybrid_tdvp,32,22,2.2,0.10572769819820937,0.8942723018017906,0.9999999999999992,7.771561172376096e-16,0.3296673542704546,32,32,15016,240256,15016,240256,14.59789169987198,256.13943137670867,0.004089656562752069,0.0,2,,,,0,
ising,hybrid_tdvp,32,23,2.3000000000000003,0.11445749766170854,0.8855425023382915,0.9999999999999998,2.220446049250313e-16,0.3434161362628434,32,32,15016,240256,15016,240256,16.068510988843627,272.2079423655523,0.004078573021693336,0.0,2,,,,0,
ising,hybrid_tdvp,32,24,2.4000000000000004,0.12257688095604302,0.877423119043957,0.9999999999999998,2.220446049250313e-16,0.35578458976639404,32,32,15016,240256,15016,240256,13.952310162887443,286.16025252843974,0.0041005087840633335,0.0,2,,,,0,
ising,hybrid_tdvp,32,25,2.5,0.13021563848478068,0.8697843615152193,0.9999999999999994,5.551115123125783e-16,0.36709044176083866,32,32,15016,240256,15016,240256,14.038623916218057,300.1988764446578,0.004117638091757697,0.0,2,,,,0,
ising,hybrid_tdvp,32,26,2.6,0.1377779375706243,0.8622220624293757,1.0000000000000007,6.661338147750939e-16,0.3779970041270054,32,32,15016,240256,15016,240256,14.132178452215157,314.33105489687296,0.0041569524820482245,0.0,2,,,,0,
ising,hybrid_tdvp,32,27,2.7,0.14536036163487664,0.8546396383651234,1.0,0.0,0.38867153573782676,32,32,15016,240256,15016,240256,16.336963422014378,330.66801831888733,0.004235633260674722,0.0,2,,,,0,
ising,hybrid_tdvp,32,28,2.8000000000000003,0.15295066236989052,0.8470493376301095,1.0000000000000004,4.440892098500626e-16,0.3991169421920815,32,32,15016,240256,15016,240256,14.533775018062443,345.2017933369498,0.004378934813079063,0.0,2,,,,0,
ising,hybrid_tdvp,32,29,2.9000000000000004,0.16085327596904953,0.8391467240309505,0.9999999999999991,8.881784197001252e-16,0.40975719514762754,32,32,15016,240256,15016,240256,13.932548868295271,359.13434220524505,0.004549821840419126,0.0,2,,,,0,
ising,hybrid_tdvp,32,30,3.0,0.16915877993723616,0.8308412200627638,1.0000000000000009,8.881784197001252e-16,0.4207019836370458,32,32,15016,240256,15016,240256,12.700938631023746,371.8352808362688,0.004689696796077043,0.0,2,,,,0,
ising,tebd_swap,32,0,0.0,0.0,1.0,1.0,0.0,0.0,1,1,32,512,0,0,0.0,0.0,0.0,0.0,2,,,,0,
ising,tebd_swap,32,1,0.1,-9.325873406851315e-15,1.0000000000000093,1.000000000000001,1.1102230246251565e-15,1.0321174407473645e-14,16,16,4776,76416,4776,76416,0.034603754815179855,0.034603754815179855,3.435604010133862e-30,0.0,2,,,,0,
ising,tebd_swap,32,2,0.2,0.000858719822028009,0.999141280177972,0.999497422941619,0.0005025770583809708,0.029307068279763957,32,32,15016,240256,15016,240256,0.147435482009314,0.18203923682449386,0.0066670243576954485,0.0,2,,,,0,
ising,tebd_swap,32,3,0.30000000000000004,0.019379812075684066,0.9806201879243159,0.9871601919525252,0.012839808047474754,0.1395515222178562,32,32,15016,240256,15016,240256,0.33907431201078,0.5211135488352738,0.33311421300340344,0.0,2,,,,0,
