task_type,method,chi_max,theta,x_fraction,special_angle,substeps,infidelity,fidelity,max_bond,param_count,runtime_s,peak_memory_mb,norm_before,norm_after,discarded_weight,variational_converged,variational_failed,failure_message
chi_scan,hybrid_tdvp,64,1.8849555921538759,0.3,0,64,8.075917712346836e-11,0.9999999999192408,16,2728,1.1886210719821975,259.58984375,0.9999999999999996,1.0000000000000353,8.528966031616107e-14,,,
chi_scan,mpo_zipup,64,1.8849555921538759,0.3,0,64,0.0,1.0000000000000018,16,2728,0.00790005800081417,259.58984375,0.9999999999999996,1.000000000000001,2.362418849462314e-31,,,
chi_scan,tebd_swap,64,1.8849555921538759,0.3,0,64,0.0,1.0000000000000018,16,2728,0.006832235027104616,259.58984375,0.9999999999999996,1.0000000000000013,1.6406027247546618e-30,,,
chi_scan,variational_mpo,64,1.8849555921538759,0.3,0,64,0.0,1.0000000000000018,16,2728,0.13110736198723316,259.58984375,0.9999999999999996,1.000000000000001,0.0,1,0,
chi_scan,hybrid_tdvp,128,0.006283185307179587,0.001,0,64,2.229595841285459e-09,0.9999999977704042,16,2376,1.069872900028713,259.58984375,0.9999999999999996,0.9999999999914526,3.4820080319844884e-11,,,
chi_scan,mpo_zipup,128,0.006283185307179587,0.001,0,64,0.0,1.0000000000000036,16,2728,0.004861046967562288,259.58984375,0.9999999999999996,1.0000000000000022,2.3723037474384163e-31,,,
chi_scan,tebd_swap,128,0.006283185307179587,0.001,0,64,0.0,1.0000000000000062,16,2728,0.007972277991939336,259.58984375,0.9999999999999996,1.0000000000000033,1.685581168132305e-30,,,
chi_scan,variational_mpo,128,0.006283185307179587,0.001,0,64,0.0,1.0000000000000036,16,2728,0.20495751802809536,259.58984375,0.9999999999999996,1.0000000000000022,0.0,1,0,
chi_scan,hybrid_tdvp,128,0.06283185307179587,0.01,0,64,2.5320656682481513e-10,0.9999999997467934,16,2680,1.1337448409758508,259.58984375,0.9999999999999996,0.9999999999991411,3.936209339413436e-12,,,
chi_scan,mpo_zipup,128,0.06283185307179587,0.01,0,64,0.0,1.0000000000000009,16,2728,0.010925390000920743,259.58984375,0.9999999999999996,1.0000000000000009,2.3623946440532253e-31,,,
chi_scan,tebd_swap,128,0.06283185307179587,0.01,0,64,0.0,1.0000000000000022,16,2728,0.007495811965782195,259.58984375,0.9999999999999996,1.0000000000000016,1.678894052048886e-30,,,
chi_scan,variational_mpo,128,0.06283185307179587,0.01,0,64,0.0,1.0000000000000009,16,2728,0.15127053699688986,259.58984375,0.9999999999999996,1.0000000000000009,0.0,1,0,
chi_scan,hybrid_tdvp,128,0.6283185307179586,0.1,0,64,8.909317728011956e-12,0.9999999999910907,16,2728,1.1401381060131826,259.58984375,0.9999999999999996,1.0000000000000275,9.457544065903174e-15,,,
chi_scan,mpo_zipup,128,0.6283185307179586,0.1,0,64,2.886579864025407e-15,0.9999999999999971,16,2728,0.007890378008596599,259.74609375,0.9999999999999996,0.9999999999999989,2.3786830794505395e-31,,,
chi_scan,tebd_swap,128,0.6283185307179586,0.1,0,64,1.9984014443252818e-15,0.999999999999998,16,2728,0.008009645040147007,259.74609375,0.9999999999999996,0.9999999999999993,1.6775062946441064e-30,,,
chi_scan,variational_mpo,128,0.6283185307179586,0.1,0,64,2.886579864025407e-15,0.9999999999999971,16,2728,0.02347076905425638,259.74609375,0.9999999999999996,0.9999999999999989,0.0,1,0,
chi_scan,hybrid_tdvp,128,1.8849555921538759,0.3,0,64,8.075917712346836e-11,0.9999999999192408,16,2728,0.7324165310128592,259.74609375,0.9999999999999996,1.0000000000000353,8.528966031616107e-14,,,
chi_scan,mpo_zipup,128,1.8849555921538759,0.3,0,64,0.0,1.0000000000000018,16,2728,0.003184724017046392,259.74609375,0.9999999999999996,1.000000000000001,2.362418849462314e-31,,,
chi_scan,tebd_swap,128,1.8849555921538759,0.3,0,64,0.0,1.0000000000000018,16,2728,0.003374564985278994,259.74609375,0.9999999999999996,1.0000000000000013,1.6406027247546618e-30,,,
chi_scan,variational_mpo,128,1.8849555921538759,0.3,0,64,0.0,1.0000000000000018,16,2728,0.07495351001853123,259.74609375,0.9999999999999996,1.000000000000001,0.0,1,0,
