circuit_name,method,n_qubits,depth,fidelity_error,pauli_obs_max_error,pauli_obs_mean_error,pauli_obs_l2_error,worst_observable,max_bond_before,max_bond_after_expansion,max_bond_final,mean_bond_final,sum_chi_cubed,wall_time_s,projected_ratio_before_expansion,projection_defect_before_expansion,projected_ratio_after_expansion,projection_defect_after_expansion,state_delta_from_expansion,route_summary
rand_n10_d4_s4,subspace_expanded_tdvp,10,4,8.881784197001252e-16,7.716050021144838e-15,9.634387395137222e-16,1.143752920882314e-14,X(9),2,2,4,2.4444444444444446,184.0,0.044533400010550395,0.9475595139859136,0.05244048601408635,1.3228756555322951,0.0,8.881784197001252e-16,
rand_n10_d8_s0,plain_tdvp,10,8,0.11547100150964995,0.1091339462906199,0.027557920922773996,0.24534050970330123,X(7),2,,8,5.777777777777778,2704.0,0.056840899982489645,,,,,,
rand_n10_d8_s0,current_projection_defect_router,10,8,1.3322676295501878e-15,8.881784197001252e-15,1.9012569296705806e-15,1.577380460579592e-14,X(9),2,,16,8.444444444444445,13456.0,0.04151050001382828,,,,,,
rand_n10_d8_s0,exact_pauli_enrichment,10,8,0.0,7.993605777301127e-15,1.2563845974984845e-15,1.2087412270846005e-14,X(9),2,,16,8.444444444444445,13456.0,0.030180000001564622,,,,,,
rand_n10_d8_s0,subspace_expanded_tdvp,10,8,0.07866285676364715,0.15007256089973753,0.017648583529163084,0.2348354220959037,X(7),2,2,16,6.666666666666667,6288.0,0.08487109999987297,0.19973830241005738,0.8002616975899426,0.19973830241005744,0.8002616975899426,0.0,
rand_n10_d8_s1,plain_tdvp,10,8,0.1297277185092588,0.14030405470009888,0.03336309246364217,0.3222850607754357,Z(8),2,,8,4.0,1248.0,0.05007680002017878,,,,,,
rand_n10_d8_s1,current_projection_defect_router,10,8,0.0033438533789642566,0.033089079777946395,0.0020969675297319874,0.038332113251500315,X(0),2,,8,4.888888888888889,1808.0,0.043164500006241724,,,,,,
rand_n10_d8_s1,exact_pauli_enrichment,10,8,0.0,1.6653345369377348e-15,4.816526451183296e-16,3.951312497446938e-15,X(7),2,,8,5.333333333333333,2256.0,0.026579100027447566,,,,,,
rand_n10_d8_s1,subspace_expanded_tdvp,10,8,0.03388857426029512,0.13923954209071032,0.013689680949741101,0.21277821751972728,Z(7),2,2,7,4.222222222222222,1022.0,0.0804294999979902,0.8660254037844386,0.1339745962155614,0.8660254037844389,0.13397459621556107,0.0,
rand_n10_d8_s2,plain_tdvp,10,8,0.1593456931117717,0.21891073544543072,0.03442320079651967,0.41578703938031203,Y(5),2,,4,2.4444444444444446,166.0,0.03896479998365976,,,,,,
rand_n10_d8_s2,current_projection_defect_router,10,8,0.0,1.4904744105592727e-14,2.300504649668871e-15,2.318035642662202e-14,X(8),2,,8,4.222222222222222,1304.0,0.04070889999275096,,,,,,
rand_n10_d8_s2,exact_pauli_enrichment,10,8,0.0,1.4904744105592727e-14,2.300504649668871e-15,2.318035642662202e-14,X(8),2,,8,4.222222222222222,1304.0,0.03010900001390837,,,,,,
rand_n10_d8_s2,subspace_expanded_tdvp,10,8,0.0064451881209581785,0.011288938408527849,0.0011100206814683867,0.01835323758147856,Z(0),2,2,5,2.888888888888889,320.0,0.0783491000183858,0.9933355905692633,0.006664409430736651,0.9933355905692633,0.006664409430736651,1.9984014443252818e-15,
rand_n10_d8_s3,plain_tdvp,10,8,0.20195021471708507,0.2054948231930177,0.04953647972059005,0.5154894065511518,Z(9),2,,4,2.5555555555555554,185.0,0.03956780000589788,,,,,,
rand_n10_d8_s3,current_projection_defect_router,10,8,0.0,4.1441503007000335e-13,6.395326086725494e-14,7.219713149560698e-13,Y(6),2,,16,6.888888888888889,9368.0,0.045008900022367015,,,,,,
rand_n10_d8_s3,exact_pauli_enrichment,10,8,0.0,7.216449660063518e-15,8.920148273873816e-16,9.777938921238143e-15,X(9),2,,16,6.888888888888889,9368.0,0.02868960000341758,,,,,,
rand_n10_d8_s3,subspace_expanded_tdvp,10,8,0.037497277395669104,0.08935309391354962,0.011389011357700731,0.14886800217204754,Z(2),2,2,8,4.666666666666667,1752.0,0.08661440000287257,0.01673940077172673,0.9832605992282732,0.016739400771726736,0.9832605992282732,4.440892098500626e-16,
rand_n10_d8_s4,plain_tdvp,10,8,0.03715965796702869,0.03953092815574044,0.010628567420634477,0.10291570185345747,Z(5),2,,4,2.7777777777777777,241.0,0.048252100008539855,,,,,,
rand_n10_d8_s4,current_projection_defect_router,10,8,1.1102230246251565e-15,2.958744360626042e-14,8.362790517060294e-15,7.618174154311928e-14,X(5),2,,8,4.888888888888889,1808.0,0.048032899998361245,,,,,,
rand_n10_d8_s4,exact_pauli_enrichment,10,8,0.0,2.1926904736346842e-14,2.3288885065434274e-15,3.179017892755928e-14,Y(8),2,,8,4.888888888888889,1808.0,0.028628700005356222,,,,,,
rand_n10_d8_s4,subspace_expanded_tdvp,10,8,0.0,3.0309088572266774e-14,5.7275231566058856e-15,6.238030317214606e-14,X(9),2,2,8,4.888888888888889,1808.0,0.1042031999968458,0.37310195020033793,0.6268980497996621,1.0116184102869523,0.0,2.220446049250313e-16,
rand_n12_d4_s0,plain_tdvp,12,4,0.1437927370732116,0.23297794355177104,0.016946278914264225,0.35715151912318216,Z(0),2,,3,2.272727272727273,145.0,0.019492799998261034,,,,,,
rand_n12_d4_s0,current_projection_defect_router,12,4,0.0,1.887379141862766e-15,4.955912223812851e-16,4.93962989536485e-15,Z(2),2,,8,4.0,1712.0,0.022932000021683052,,,,,,
rand_n12_d4_s0,exact_pauli_enrichment,12,4,0.0,1.887379141862766e-15,4.955912223812851e-16,4.93962989536485e-15,Z(2),2,,8,4.0,1712.0,0.01689490000717342,,,,,,
rand_n12_d4_s0,subspace_expanded_tdvp,12,4,0.14228044554519725,0.2329779435517686,0.016540515720186253,0.35708668992905274,Z(0),2,2,4,2.727272727272727,312.0,0.040696100011700764,4.187378745342773e-18,1.0,4.187378745342773e-18,1.0,0.0,
rand_n12_d4_s1,plain_tdvp,12,4,0.07966433129134165,0.10179913408792862,0.013743269328425154,0.2076135724517458,Z(5),2,,2,2.0,88.0,0.02139439998427406,,,,,,
rand_n12_d4_s1,current_projection_defect_router,12,4,4.440892098500626e-16,1.7763568394002505e-15,4.919975760651021e-16,4.691260992935516e-15,Z(1),2,,8,3.6363636363636362,1264.0,0.023325899994233623,,,,,,
rand_n12_d4_s1,exact_pauli_enrichment,12,4,1.3322676295501878e-15,3.219646771412954e-15,6.13213533851389e-16,6.752090832714188e-15,Z(1),2,,8,3.6363636363636362,1264.0,0.020234800002072006,,,,,,
rand_n12_d4_s1,subspace_expanded_tdvp,12,4,0.050910837570648404,0.10104854932877982,0.011139339407202813,0.1936804201157759,Z(0),2,2,4,2.909090909090909,368.0,0.04817870000260882,0.33246306548803345,0.6675369345119666,0.33246306548803345,0.6675369345119666,0.0,
