case_id,family,n_qubits,depth,seed,angle_regime,chi_max,tdvp_sweeps,tdvp_padding_dim,tdvp_mean_obs_error,tebd_mean_obs_error,tdvp_error_over_tebd_error,tebd_error_over_tdvp_error,tdvp_peak_chi,tebd_peak_chi,tdvp_peak_chi_over_tebd_peak_chi,tdvp_time_over_tebd_time,tdvp_hit_chi_max,tebd_hit_chi_max,outcome
nn_brickwork_n12_d4_s1_small,nn_brickwork,12,4,1,small,64,1,,3.056426358892958e-08,3.056426358892958e-08,1.0,1.0,8,8,1.0,0.70825361469524,False,False,similar
nn_brickwork_n12_d4_s1_medium,nn_brickwork,12,4,1,medium,16,1,,2.7461603231577573e-15,2.7461603231577573e-15,1.0,1.0,8,8,1.0,0.40160686054542355,False,False,similar
nn_brickwork_n12_d4_s1_medium,nn_brickwork,12,4,1,medium,32,1,,2.7461603231577573e-15,2.7461603231577573e-15,1.0,1.0,8,8,1.0,1.0298602083819197,False,False,similar
nn_brickwork_n12_d4_s1_medium,nn_brickwork,12,4,1,medium,64,1,,2.7461603231577573e-15,2.7461603231577573e-15,1.0,1.0,8,8,1.0,2.092355061774811,False,False,similar
nn_brickwork_n12_d4_s2_small,nn_brickwork,12,4,2,small,16,1,,3.755997115423191e-08,3.755997115423191e-08,1.0,1.0,8,8,1.0,1.0473531830339573,False,False,similar
nn_brickwork_n12_d4_s2_small,nn_brickwork,12,4,2,small,32,1,,3.755997115423191e-08,3.755997115423191e-08,1.0,1.0,8,8,1.0,1.0417359632706447,False,False,similar
nn_brickwork_n12_d4_s2_small,nn_brickwork,12,4,2,small,64,1,,3.755997115423191e-08,3.755997115423191e-08,1.0,1.0,8,8,1.0,0.6748047263200515,False,False,similar
nn_brickwork_n12_d4_s2_medium,nn_brickwork,12,4,2,medium,16,1,,1.830759393910142e-15,1.830759393910142e-15,1.0,1.0,8,8,1.0,0.9207496675489527,False,False,similar
nn_brickwork_n12_d4_s2_medium,nn_brickwork,12,4,2,medium,32,1,,1.830759393910142e-15,1.830759393910142e-15,1.0,1.0,8,8,1.0,0.7576070683913808,False,False,similar
nn_brickwork_n12_d4_s2_medium,nn_brickwork,12,4,2,medium,64,1,,1.830759393910142e-15,1.830759393910142e-15,1.0,1.0,8,8,1.0,0.9932534181474221,False,False,similar
nn_brickwork_n12_d8_s0_small,nn_brickwork,12,8,0,small,16,1,,7.655892952208144e-07,7.655892952208144e-07,1.0,1.0,16,16,1.0,0.8282407390670309,True,True,similar
nn_brickwork_n12_d8_s0_small,nn_brickwork,12,8,0,small,32,1,,6.540545394614139e-08,6.540545394614139e-08,1.0,1.0,31,31,1.0,1.1854512761906069,False,False,similar
nn_brickwork_n12_d8_s0_small,nn_brickwork,12,8,0,small,64,1,,6.540545394614139e-08,6.540545394614139e-08,1.0,1.0,31,31,1.0,1.3108682386587238,False,False,similar
nn_brickwork_n12_d8_s0_medium,nn_brickwork,12,8,0,medium,16,1,,0.002018622865725726,0.002018622865725726,1.0,1.0,16,16,1.0,0.8235163424164389,True,True,similar
nn_brickwork_n12_d8_s0_medium,nn_brickwork,12,8,0,medium,32,1,,0.0003385567453612087,0.0003385567453612087,1.0,1.0,32,32,1.0,1.1512034504323407,True,True,similar
nn_brickwork_n12_d8_s0_medium,nn_brickwork,12,8,0,medium,64,1,,3.470588978241966e-15,3.470588978241966e-15,1.0,1.0,64,64,1.0,1.0559172784442064,True,True,similar
nn_brickwork_n12_d8_s1_small,nn_brickwork,12,8,1,small,16,1,,1.607411301997958e-07,1.607411301997958e-07,1.0,1.0,16,16,1.0,0.8389467986743551,True,True,similar
nn_brickwork_n12_d8_s1_small,nn_brickwork,12,8,1,small,32,1,,7.294609608157683e-08,7.294609608157683e-08,1.0,1.0,28,28,1.0,0.878384912617652,False,False,similar
nn_brickwork_n12_d8_s1_small,nn_brickwork,12,8,1,small,64,1,,7.294609608157683e-08,7.294609608157683e-08,1.0,1.0,28,28,1.0,0.46648408981840517,False,False,similar
nn_brickwork_n12_d8_s1_medium,nn_brickwork,12,8,1,medium,16,1,,0.00110566338806045,0.00110566338806045,1.0,1.0,16,16,1.0,1.0938496625107812,True,True,similar
nn_brickwork_n12_d8_s1_medium,nn_brickwork,12,8,1,medium,32,1,,9.668897079387388e-05,9.668897079387388e-05,1.0,1.0,32,32,1.0,0.9341200855833193,True,True,similar
nn_brickwork_n12_d8_s1_medium,nn_brickwork,12,8,1,medium,64,1,,1.4644716284558289e-15,1.4644716284558289e-15,1.0,1.0,64,64,1.0,0.8784118274852853,True,True,similar
nn_brickwork_n12_d8_s2_small,nn_brickwork,12,8,2,small,16,1,,1.7265332665127698e-07,1.7265332665127698e-07,1.0,1.0,16,16,1.0,0.9112659635306595,True,True,similar
nn_brickwork_n12_d8_s2_small,nn_brickwork,12,8,2,small,32,1,,1.3166300327081998e-07,1.3166300327081998e-07,1.0,1.0,26,26,1.0,0.9005688938061529,False,False,similar
nn_brickwork_n12_d8_s2_small,nn_brickwork,12,8,2,small,64,1,,1.3166300327081998e-07,1.3166300327081998e-07,1.0,1.0,26,26,1.0,0.8691374722540853,False,False,similar
nn_brickwork_n12_d8_s2_medium,nn_brickwork,12,8,2,medium,16,1,,0.0019163711847901578,0.0019163711847901578,1.0,1.0,16,16,1.0,1.0800733892496641,True,True,similar
nn_brickwork_n12_d8_s2_medium,nn_brickwork,12,8,2,medium,32,1,,0.00039262986670349665,0.00039262986670349665,1.0,1.0,32,32,1.0,1.0781786685926456,True,True,similar
nn_brickwork_n12_d8_s2_medium,nn_brickwork,12,8,2,medium,64,1,,2.176282880757737e-15,2.176282880757737e-15,1.0,1.0,64,64,1.0,0.9890900312321386,True,True,similar
nn_brickwork_n16_d4_s0_small,nn_brickwork,16,4,0,small,16,1,,1.8624740453023693e-08,1.8624740453023693e-08,1.0,1.0,8,8,1.0,1.959148482141939,False,False,similar
nn_brickwork_n16_d4_s0_small,nn_brickwork,16,4,0,small,32,1,,1.8624740453023693e-08,1.8624740453023693e-08,1.0,1.0,8,8,1.0,1.3129427495064587,False,False,similar
nn_brickwork_n16_d4_s0_small,nn_brickwork,16,4,0,small,64,1,,1.8624740453023693e-08,1.8624740453023693e-08,1.0,1.0,8,8,1.0,0.6236783183875718,False,False,similar
nn_brickwork_n16_d4_s0_medium,nn_brickwork,16,4,0,medium,16,1,,2.0643724360155933e-15,2.0643724360155933e-15,1.0,1.0,8,8,1.0,2.4635901034337455,False,False,similar
nn_brickwork_n16_d4_s0_medium,nn_brickwork,16,4,0,medium,32,1,,2.0643724360155933e-15,2.0643724360155933e-15,1.0,1.0,8,8,1.0,0.823996237930521,False,False,similar
