case_id,family,n_qubits,depth,seed,angle_regime,chi_max,tebd_error,unpadded_tdvp_error,padded4_tdvp_error,tebd_fidelity,unpadded_tdvp_fidelity,padded4_tdvp_fidelity,tebd_peak_chi,unpadded_tdvp_peak_chi,padded4_tdvp_peak_chi,tebd_wall_time,unpadded_tdvp_wall_time,padded4_tdvp_wall_time,tebd_hit_chi_max,unpadded_tdvp_hit_chi_max,padded4_tdvp_hit_chi_max,padded4_error_over_tebd_error,padded4_peak_chi_over_tebd_peak_chi,padded4_time_over_tebd_time,unpadded_error_over_padded4_error,outcome
nn_brickwork_n16_d8_s0_small,nn_brickwork,16,8,0,small,32,1.4903712255167211e-07,1.4903712255167211e-07,1.4903712255167211e-07,0.999999999698312,0.999999999698312,0.999999999698312,32,32,32,0.188262699986808,0.24624010000843555,0.24441489996388555,True,True,True,1.0,1.0,1.298265136859358,1.0,similar
nn_brickwork_n16_d8_s0_small,nn_brickwork,16,8,0,small,64,1.4903712255167211e-07,1.4903712255167211e-07,1.4903712255167211e-07,0.999999999698312,0.999999999698312,0.999999999698312,32,32,32,0.22004510002443567,0.31677070003934205,0.18734519998542964,False,False,False,1.0,1.0,0.8513945548645494,1.0,similar
nn_brickwork_n16_d8_s0_medium,nn_brickwork,16,8,0,medium,16,0.0023684906294736976,0.0023684906294736976,0.0023684906294736976,0.9817227682508285,0.9817227682508285,0.9817227682508285,16,16,16,0.24739599996246397,0.28057979996083304,0.23579780000727624,True,True,True,1.0,1.0,0.953118886493931,1.0,similar
nn_brickwork_n16_d8_s0_medium,nn_brickwork,16,8,0,medium,32,0.0004204361410055428,0.0004204361410055428,0.0004204361410055428,0.998149269197237,0.998149269197237,0.998149269197237,32,32,32,0.26209759997436777,0.3038950999616645,0.2407143999589607,True,True,True,1.0,1.0,0.91841512468066,1.0,similar
nn_brickwork_n16_d8_s0_medium,nn_brickwork,16,8,0,medium,64,9.244414696468833e-05,9.244414696468833e-05,9.244414696468833e-05,0.9999001461197962,0.9999001461197962,0.9999001461197962,64,64,64,0.6228569999802858,0.47984109999379143,0.43997639999724925,True,True,True,1.0,1.0,0.7063842904730542,1.0,similar
nn_brickwork_n16_d8_s1_small,nn_brickwork,16,8,1,small,16,5.483938213461415e-07,5.483938213461415e-07,5.483938213461415e-07,0.999999980356944,0.999999980356944,0.999999980356944,16,16,16,0.1911246000090614,0.19804950000252575,0.22719710000092164,True,True,True,1.0,1.0,1.1887381320361168,1.0,similar
nn_brickwork_n16_d8_s1_small,nn_brickwork,16,8,1,small,32,1.2388530467845906e-07,1.2388530467845906e-07,1.2388530467845906e-07,0.9999999995986655,0.9999999995986655,0.9999999995986655,31,31,31,0.20759559998987243,0.21758599998429418,0.25427719997242093,False,False,False,1.0,1.0,1.2248679643731653,1.0,similar
nn_brickwork_n16_d8_s1_small,nn_brickwork,16,8,1,small,64,1.2388530467845906e-07,1.2388530467845906e-07,1.2388530467845906e-07,0.9999999995986655,0.9999999995986655,0.9999999995986655,31,31,31,0.2400420000194572,0.21884799998952076,0.20286830002442002,False,False,False,1.0,1.0,0.8451366844467886,1.0,similar
nn_brickwork_n16_d8_s1_medium,nn_brickwork,16,8,1,medium,16,0.002216467873447099,0.002216467873447099,0.002216467873447099,0.9770812991095433,0.9770812991095433,0.9770812991095433,16,16,16,0.15855390002252534,0.21574359998339787,0.21042509999824688,True,True,True,1.0,1.0,1.3271518390172197,1.0,similar
nn_brickwork_n16_d8_s1_medium,nn_brickwork,16,8,1,medium,32,0.0002595111286010797,0.0002595111286010797,0.0002595111286010797,0.9988476592517406,0.9988476592517406,0.9988476592517406,32,32,32,0.28840640000998974,0.20727030001580715,0.15806859999429435,True,True,True,1.0,1.0,0.54807590951109,1.0,similar
