L,k,dt,g,cut,J,n_pasts,n_futures,n_seeds,branch_weight_beta,centered,entropy,entropy_std,delta_norm,rank
6,20,0.1,1.0,4,1.75,32,32,1,1.0,0,0.03116031540492316,0.0,15.505051814807103,32
6,20,0.1,1.0,4,1.8,32,32,1,1.0,0,0.032119074454881914,0.0,15.573076055494756,32
6,20,0.1,1.0,4,1.85,32,32,1,1.0,0,0.0329387833162244,0.0,15.643428386522032,32
6,20,0.1,1.0,4,1.9000000000000001,32,32,1,1.0,0,0.03365329197009569,0.0,15.714513890090084,32
6,20,0.1,1.0,4,1.9500000000000002,32,32,1,1.0,0,0.03429728944088269,0.0,15.785056220821378,32
6,20,0.1,1.0,4,2.0,32,32,1,1.0,0,0.034903217967845346,0.0,15.854007282051272,32
6,20,0.1,1.0,5,0.0,32,32,1,1.0,0,2.141404136484463e-27,0.0,17.413292761310714,1
6,20,0.1,1.0,5,0.05,32,32,1,1.0,0,2.4304959694117654e-07,0.0,17.381921554549987,32
6,20,0.1,1.0,5,0.1,32,32,1,1.0,0,3.4122706202379515e-06,0.0,17.34225381485205,32
6,20,0.1,1.0,5,0.15000000000000002,32,32,1,1.0,0,1.609042467693613e-05,0.0,17.29329168482954,32
6,20,0.1,1.0,5,0.2,32,32,1,1.0,0,4.8665310753472206e-05,0.0,17.233588628291344,32
