panel,method,theta,median,min,max,median_display,min_display,max_display,sequence,gate_count,chi_max,x_median,x_min,x_max,y_median,y_min,y_max,y_median_display,y_min_display,y_max_display
b,hybrid_tdvp,,0.0029052073608789586,0.0008370971583496756,0.0035420391758195224,0.0029052073608789586,0.0008370971583496756,0.0035420391758195224,commuting,27,,,,,,,,,,
b,hybrid_tdvp,,0.0028020874041767563,0.0008276396127762098,0.0034049816720436166,0.0028020874041767563,0.0008276396127762098,0.0034049816720436166,commuting,28,,,,,,,,,,
b,hybrid_tdvp,,0.003231185529473324,0.000925801007176541,0.003877258787111759,0.003231185529473324,0.000925801007176541,0.003877258787111759,commuting,29,,,,,,,,,,
b,hybrid_tdvp,,0.0037525397041957564,0.0010580334318054385,0.004529876445132586,0.0037525397041957564,0.0010580334318054385,0.004529876445132586,commuting,30,,,,,,,,,,
b,hybrid_tdvp,,0.0036482427071972134,0.0010487183084432194,0.004388379786565477,0.0036482427071972134,0.0010487183084432194,0.004388379786565477,commuting,31,,,,,,,,,,
b,hybrid_tdvp,,0.004152724422591514,0.0011609696525254343,0.004943843349015431,0.004152724422591514,0.0011609696525254343,0.004943843349015431,commuting,32,,,,,,,,,,
b,hybrid_tdvp,,0.0047522506586985536,0.0013090647385789467,0.005692666288729997,0.0047522506586985536,0.0013090647385789467,0.005692666288729997,commuting,33,,,,,,,,,,
b,hybrid_tdvp,,0.0046508221164835994,0.0013002801113232154,0.005551267102786417,0.0046508221164835994,0.0013002801113232154,0.005551267102786417,commuting,34,,,,,,,,,,
b,hybrid_tdvp,,0.0052346098629949545,0.0014267199291461141,0.006196930234354636,0.0052346098629949545,0.0014267199291461141,0.006196930234354636,commuting,35,,,,,,,,,,
b,hybrid_tdvp,,0.005916016197425322,0.001590787313994646,0.007048914058339406,0.005916016197425322,0.001590787313994646,0.007048914058339406,commuting,36,,,,,,,,,,
b,tebd_swap,,0.0,0.0,1.3322676295501878e-15,1e-14,1e-14,1e-14,commuting,1,,,,,,,,,,
b,tebd_swap,,0.06772433465384786,0.06036523724615228,0.1298735431608954,0.06772433465384786,0.06036523724615228,0.1298735431608954,commuting,2,,,,,,,,,,
b,tebd_swap,,0.13552587716844566,0.12978821078657687,0.166652864358926,0.13552587716844566,0.12978821078657687,0.166652864358926,commuting,3,,,,,,,,,,
b,tebd_swap,,0.15080243402041982,0.14056902238302738,0.1777268909437395,0.15080243402041982,0.14056902238302738,0.1777268909437395,commuting,4,,,,,,,,,,
b,tebd_swap,,0.19472722993901292,0.18286867421562636,0.22416652998299536,0.19472722993901292,0.18286867421562636,0.22416652998299536,commuting,5,,,,,,,,,,
b,tebd_swap,,0.22671360890530434,0.21811306893702442,0.25197077439436977,0.22671360890530434,0.21811306893702442,0.25197077439436977,commuting,6,,,,,,,,,,
b,tebd_swap,,0.23416207428158364,0.22623360141870064,0.2604519320340313,0.23416207428158364,0.22623360141870064,0.2604519320340313,commuting,7,,,,,,,,,,
b,tebd_swap,,0.2574251062181476,0.2533250271327083,0.27962990412878785,0.2574251062181476,0.2533250271327083,0.27962990412878785,commuting,8,,,,,,,,,,
b,tebd_swap,,0.2735303678138534,0.27151058173964804,0.29835634282059464,0.2735303678138534,0.27151058173964804,0.29835634282059464,commuting,9,,,,,,,,,,
b,tebd_swap,,0.27950615452764815,0.2743808106198984,0.305238817686142,0.27950615452764815,0.2743808106198984,0.305238817686142,commuting,10,,,,,,,,,,
b,tebd_swap,,0.30147627997640136,0.2907355472306804,0.311865857311877,0.30147627997640136,0.2907355472306804,0.311865857311877,commuting,11,,,,,,,,,,
b,tebd_swap,,0.30979212188599103,0.3066515945661713,0.3205869626596588,0.30979212188599103,0.3066515945661713,0.3205869626596588,commuting,12,,,,,,,,,,
b,tebd_swap,,0.31518436599082034,0.31339058191652114,0.3258483219463394,0.31518436599082034,0.31339058191652114,0.3258483219463394,commuting,13,,,,,,,,,,
b,tebd_swap,,0.32231926902673724,0.3205072899386876,0.3347882904114241,0.32231926902673724,0.3205072899386876,0.3347882904114241,commuting,14,,,,,,,,,,
b,tebd_swap,,0.3324060509245371,0.32954071324065204,0.3465785305841894,0.3324060509245371,0.32954071324065204,0.3465785305841894,commuting,15,,,,,,,,,,
b,tebd_swap,,0.3363857962272335,0.3331910050525885,0.35148511155157625,0.3363857962272335,0.3331910050525885,0.35148511155157625,commuting,16,,,,,,,,,,
