case_id,n_qubits,depth,seed,angle_regime,chi_max,tdvp_sweeps,tebd_error,tdvp_error,tebd_fidelity,tdvp_fidelity,tebd_peak_chi,tdvp_peak_chi,tdvp_peak_chi_over_tebd_peak_chi,tebd_wall_time,tdvp_wall_time,tdvp_time_over_tebd_time,tebd_error_over_tdvp_error,tdvp_error_over_tebd_error,tebd_hit_chi_max,tdvp_hit_chi_max,tdvp_gate_count,tebd_gate_count,outcome
nn_brickwork_n12_d8_s0_small,12,8,0,small,16,1,1.4654472600413316e-07,7.337712003454022e-07,0.9999999956467231,0.9999999366050117,16,16,1.0,0.042063400032930076,0.6880929000326432,16.358470772547097,0.1997144694901508,5.007148468275187,True,True,88,88,tebd_wins
nn_brickwork_n12_d8_s0_small,12,8,0,small,32,1,8.710534812164297e-08,6.850127930413049e-07,0.999999999728044,0.9999999387698297,28,20,0.7142857142857143,0.044653200020547956,0.9325506000313908,20.884294957634864,0.12715871733564937,7.864187536277126,False,False,88,88,tebd_wins
nn_brickwork_n12_d8_s0_small,12,8,0,small,64,1,8.710534812164297e-08,6.850127930413049e-07,0.999999999728044,0.9999999387698297,28,20,0.7142857142857143,0.10669579997193068,0.8987736999988556,8.423702715901687,0.12715871733564937,7.864187536277126,False,False,88,88,tebd_wins
nn_brickwork_n12_d8_s0_medium,12,8,0,medium,16,1,0.0011525679215236499,0.0027079874249311448,0.9965327848653427,0.9913256077190907,16,16,1.0,0.0727321999729611,0.9525791000341997,13.09707530348773,0.42561790018391826,2.3495252421664583,True,True,88,88,tebd_wins
nn_brickwork_n12_d8_s0_medium,12,8,0,medium,32,1,0.00011492368983276632,0.001348384124095617,0.9998943669069755,0.9952588598741776,32,32,1.0,0.2952222000458278,4.614272599981632,15.629829326064746,0.0852306755761067,11.73286487805732,True,True,88,88,tebd_wins
nn_brickwork_n12_d8_s0_medium,12,8,0,medium,64,1,9.376180387654642e-16,0.0011980623586907398,0.9999999999999989,0.9953576918608004,64,59,0.921875,0.13469590002205223,1.4243866000324488,10.574832640037672,7.82612050169164e-13,1198062358690.7397,True,False,88,88,tebd_wins
nn_brickwork_n12_d8_s1_small,12,8,1,small,16,1,3.1648013843876774e-07,1.0111809186696007e-06,0.9999999924343344,0.999999943023424,16,16,1.0,0.17051379999611527,1.025273599952925,6.012848226807938,0.31298072639182817,3.1950849227312346,True,True,88,88,tebd_wins
nn_brickwork_n12_d8_s1_small,12,8,1,small,32,1,4.2825325778704827e-08,6.558920121687132e-07,0.9999999999082634,0.9999999492336626,30,21,0.7,0.17478070000652224,0.8367292000330053,4.787308896244158,0.06529325709746409,15.315517167527533,False,False,88,88,tebd_wins
nn_brickwork_n12_d8_s1_small,12,8,1,small,64,1,4.2825325778704827e-08,6.558920121687132e-07,0.9999999999082634,0.9999999492336626,30,21,0.7,0.15314670000225306,0.7796000000089407,5.09054390331278,0.06529325709746409,15.315517167527533,False,False,88,88,tebd_wins
nn_brickwork_n12_d8_s1_medium,12,8,1,medium,16,1,0.00258958022912023,0.004532580194582263,0.9892721218940004,0.9878040898443992,16,16,1.0,0.10728100000414997,0.875886800000444,8.16441681161214,0.5713258492845914,1.750314643127368,True,True,88,88,similar
