run_kind,build_method,total_time,J,cut,k,L,dt,object_type,valid,entropy,effective_rank,p1,numerical_rank,ipr,r_90,r_99,r_999,chi_1e-2,chi_1e-3,chi_1e-4,n_singular_values
main,exhaustive,0.4,3.0,3,3,6,0.1,response_centered,False,0.017588931748109292,1.017744527926281,0.997481266297987,12,1.005050155858113,1,1,2,10,10,9,12
main,exhaustive,0.4,3.0,3,3,6,0.1,response_uncentered,False,0.011284875407425872,1.011348789809664,0.9984951048606291,12,1.0030143198789445,1,1,2,10,10,9,12
main,exhaustive,0.4,3.2,1,3,6,0.1,process_tensor,True,2.2778268987136145e-05,1.000022778528414,0.9999984634555427,4,1.0000030730942682,1,1,1,3,2,1,4
main,exhaustive,0.4,3.2,1,3,6,0.1,response_centered,True,0.0001681917588117376,1.0001682059038386,0.9999864428752163,3,1.000027114634513,1,1,1,3,2,1,4
main,exhaustive,0.4,3.2,1,3,6,0.1,response_uncentered,True,4.692324724734291e-05,1.0000469243481602,0.9999965985655599,4,1.0000068028931528,1,1,1,3,2,1,4
main,exhaustive,0.4,3.2,2,3,6,0.1,process_tensor,True,0.0045656553788936665,1.0045760938635415,0.9994805488555619,12,1.0010394708042798,1,1,1,62,60,60,64
main,exhaustive,0.4,3.2,2,3,6,0.1,response_centered,True,0.019352020571803432,1.0195404846792582,0.9972062445242393,63,1.0056032428179509,1,1,2,62,60,59,64
main,exhaustive,0.4,3.2,2,3,6,0.1,response_uncentered,True,0.009652658749109687,1.0096993959178455,0.9987520178283836,64,1.0024991037936755,1,1,2,62,61,59,64
main,exhaustive,0.4,3.2,3,3,6,0.1,process_tensor,False,0.008267739122889787,1.0083020112639218,0.9989477001284762,4,1.0021068145241039,1,1,2,14,14,13,16
main,exhaustive,0.4,3.2,3,3,6,0.1,response_centered,False,0.020831751143054106,1.0210502466480544,0.9969297246061473,12,1.0061594045082864,1,1,2,10,10,9,12
